"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"8017","CIART",0.757153469908489,2.37340873833654,1.92808180157445,3.62659126166346,0.47911788359988,3.26682086060348e-06,0.0454545454544368
"4524","OPRL1",0.369761999581329,1.38601597406044,4.40384501516148,4.61398402593956,0.344174445437148,9.80046258181044e-06,0.0681818181816553
"10732","PER1",0.55348385200254,0.607181289514134,4.06845615626818,5.39281871048587,0.281609492926646,1.63341043030174e-05,0.0757575757573947
"547","PER3",0.309332311943656,23.9876422586807,4.86086398520384,6.01235774131931,0.25134348121928,2.28677460242244e-05,0.0795454545452645
"2551","DBP",0.35056608050189,1.700420323657,3.99986372799731,4.299579676343,0.236481717542866,2.94013877455424e-05,0.0818181818182953
"5332","ARNTL",0.187758106100438,12.9193336419292,5.6542337690412,17.0806663580708,0.236250212322174,3.59350294667493e-05,0.0833333333333917
"171","CRY1",0.195254450729448,16.3382189974093,4.26203504717815,13.6617810025907,0.22549059645128,4.24686711879563e-05,0.0844155844156034
"4181","PDZRN3",0.224202545924107,1.95826975751521,5.06403672953862,4.04173024248479,0.22093434492492,4.90023129091632e-05,0.0852272727272622
"5154","PER2",0.385004862463511,22.2865009329269,4.36459488177392,7.71349906707314,0.215654016867156,5.55359546303702e-05,0.0858585858585523
"4622","NR1D1",0.557600689145103,1.90512983213082,2.78727787631184,4.09487016786917,0.207609355852085,6.20695963515772e-05,0.0863636363635845
"4192","CAT",0.243287577115416,11.4661049525082,5.46505045422418,-5.46610495250815,0.206864069090419,6.86032380727841e-05,0.0867768595040653
"5366","BHLHE40",0.331424064671859,23.5237401075749,4.75757919408383,6.47625989242514,0.192298609360197,0.000107805088400137,0.124999999999959
"3224","MAN1A1",0.256648777426967,14.9718312364063,6.29890174615143,15.0281687635937,0.188689558646343,0.000120872371842662,0.129370629370677
"4190","CRY2",0.160824232194013,0.331204048557788,6.53690776578458,5.66879595144221,0.187027452160943,0.000133939655285076,0.133116883116896
"7656","DKK2",0.281165456521887,11.5344962035859,3.18034354066844,-5.53449620358587,0.183716472882845,0.00014700693872749,0.133522727272698
"9147","ANKDD1A",0.201445561414478,21.4105504424878,4.09630335371163,8.58944955751216,0.183184106950733,0.000153540580448697,0.133522727272698
"8842","NFIL3",0.232935433970052,14.5690088699234,3.39577412734106,15.4309911300766,0.180995478548369,0.000173141505612429,0.141711229946549
"9188","TEF",0.156758185590423,22.9938010210154,6.66926476612283,7.0061989789846,0.17436134569235,0.000199276072497256,0.154040404040379
"11273","ZDHHC23",0.233223672096842,17.1706156205001,6.05525340267074,12.8293843794999,0.173407918594902,0.000218876997660988,0.160287081339736
"13230","LINC01158",0.231628582480998,13.401385686761,3.0250847007048,16.598614313239,0.172001575654874,0.000238477922824609,0.165909090909081
"7574","UBASH3B",0.150021862390132,15.0255470066307,5.00938881010427,14.9744529933693,0.169533489931417,0.000284213414873169,0.18831168831168
"8059","ZFYVE28",0.2475525195471,1.05768978647007,4.6643821448126,4.94231021352993,0.167802878597539,0.000310347981758108,0.190235690235693
"10272","NR1D2",0.202815853229419,1.7032828534633,7.22731203986451,4.2967171465367,0.167409893357428,0.000316881623479315,0.190235690235693
"12995","ZNF844",0.170245807774939,10.7250404445452,4.92758885275795,-4.72504044454522,0.166408050380995,0.000343016190364143,0.190235690235693
"3503","ACVR2B",0.255867993321643,0.540064306712986,2.37570316939358,5.45993569328701,0.166361733700689,0.000349549832085461,0.190235690235693
"703","DGAT2",0.265831004508933,4.1935379812812,3.36014645757945,1.8064620187188,0.165067100999331,0.000362617115527875,0.190235690235693
"1629","RGS17",0.172148739654783,14.4081906745068,3.60527656973965,15.5918093254932,0.164819026479265,0.000369150757249082,0.190235690235693
"9583","KCNK9",0.155529280122781,0.522789466895088,3.3709561633114,5.47721053310491,0.163979824072078,0.00039528532413402,0.196428571428599
"4966","PNPLA7",0.334213503977592,23.7221399208631,3.14573829625825,6.27786007913687,0.16250386523865,0.000421419891018848,0.201515151515133
"13649","ZFHX4.AS1",0.351625856470157,9.63032033338241,1.21885924574241,-3.63032033338241,0.16130970676605,0.000434487174461262,0.201515151515133
"12880","IFRD2",0.212015957931313,3.52863050498851,2.75684002894111,2.47136949501149,0.159015592716716,0.000480222666509822,0.215542521994118
"10635","MLF1",0.219764663972086,12.0292049953552,4.99285571526398,17.9707950046448,0.157073335033346,0.000565160008885734,0.245738636363628
"4564","STK35",0.236688238460347,0.0981618332431509,4.78512290895055,5.90183816675685,0.156204279349479,0.000584760934049466,0.24655647382922
"5063","SLC6A6",0.197610223364873,23.4078900263574,4.0082148930833,6.59210997364255,0.154906823988644,0.00064356370954044,0.263368983957226
"7424","HOMER1",0.201606913074654,14.7993837122413,8.31306394612153,15.2006162877587,0.151884831578444,0.000833039319455886,0.331168831168834
"3016","ZBTB16",0.285785848883628,23.7252685026587,5.54366939486283,6.27473149734132,0.149410658855625,0.000989846720765186,0.382575757575744
"4162","AKAP1",0.195552368834192,0.253797854799923,4.68813370947045,5.74620214520008,0.148901389175745,0.00104211585453495,0.386363636363648
"2305","EEF2K",0.18057481805099,22.3484843639769,4.59160848412997,7.65151563602311,0.148849419262493,0.00105518313797748,0.386363636363648
"11489","PTCH1",0.263859521424636,22.196748939962,3.97111124469087,7.80325106003802,0.148436816466185,0.00109438498830483,0.390442890442908
"12815","ZNF845",0.161445788890123,11.5896630479097,4.18825138852566,-5.58966304790974,0.147775748113916,0.00114012048035339,0.396590909090927
